case_number,prompt,label_str,evaluation_seed
159,road,road,2976
160,road,road,1287
161,road,road,4685
162,road,road,7538
163,road,road,1765
164,road,road,5114
165,road,road,5583
166,road,road,3506
167,road,road,7986
168,road,road,8349
169,road,road,3206
170,road,road,2081
171,road,road,5081
172,road,road,8980
173,road,road,9350
174,road,road,9185
175,road,road,5058
176,road,road,1783
177,road,road,8635
178,road,road,7645
179,road,road,4608
180,road,road,8676
181,road,road,8133
182,road,road,2680
183,road,road,4198
184,road,road,1765
185,road,road,8775
186,road,road,7326
187,road,road,2449
188,road,road,5512
189,road,road,4437
190,road,road,7936
191,road,road,7061
192,road,road,3191
193,road,road,9010
194,road,road,6194
195,road,road,1236
196,road,road,3470
197,road,road,1687
198,road,road,7110
199,road,road,1534
200,car,car,6587
201,car,car,3854
202,car,car,1278
203,car,car,8654
204,car,car,5505
205,car,car,2117
206,car,car,4725
207,car,car,5341
208,car,car,6780
209,car,car,5621
210,car,car,1575
211,car,car,7350
212,car,car,2994
213,car,car,6138
214,car,car,4118
215,car,car,3201
216,car,car,9733
217,car,car,1238
218,car,car,4973
219,car,car,5874
220,car,car,3435
221,car,car,6741
222,car,car,3484
223,car,car,2405
224,car,car,7500
225,car,car,2599
226,car,car,9460
227,car,car,2858
228,car,car,2828
229,car,car,5427
230,car,car,5123
231,car,car,1381
232,car,car,3261
233,car,car,6567
234,car,car,2130
235,car,car,2680
236,car,car,4540
237,car,car,3097
238,car,car,5676
239,car,car,3849
240,car,car,6637
241,car,car,3038
242,car,car,8970
243,car,car,5834
244,car,car,4310
245,car,car,9449
246,car,car,1340
247,car,car,7210
248,car,car,4842
249,car,car,5026
250,car,car,4188
251,car,car,3867
252,car,car,9760
253,car,car,2079
254,car,car,2023
255,car,car,1351
256,car,car,3562
257,car,car,5771
258,car,car,5209
259,car,car,7114
260,car,car,9573
261,car,car,2423
262,car,car,8651
263,car,car,8485
264,car,car,6685
265,car,car,6576
266,car,car,4649
267,car,car,6258
268,car,car,4076
269,car,car,2358
270,car,car,6617
271,car,car,4830
272,car,car,2841
273,car,car,5392
274,car,car,7263
275,car,car,6863
276,car,car,3459
277,car,car,9843
278,car,car,7599
279,car,car,7138
280,car,car,7709
281,car,car,6246
282,car,car,5245
283,car,car,2310
284,car,car,6236
285,car,car,5733
286,car,car,2448
287,car,car,4172
288,car,car,3796
289,car,car,7674
290,car,car,5147
291,car,car,2682
292,car,car,7009
293,car,car,2429
294,car,car,8714
295,car,car,7546
296,car,car,4937
297,car,car,1476
298,car,car,3033
299,car,car,3383
300,car,car,8908
301,car,car,5810
302,car,car,5925
303,car,car,4592
304,car,car,7760
305,car,car,7614
306,car,car,4822
307,car,car,7745
308,car,car,3972
309,car,car,4303
310,car,car,2354
311,car,car,2829
312,car,car,1902
313,car,car,1830
314,car,car,7700
315,car,car,3644
316,car,car,2973
317,car,car,3123
318,car,car,8424
319,car,car,9546
320,car,car,1127
321,car,car,3349
322,car,car,5406
323,car,car,2093
324,car,car,8631
325,car,car,8357
326,car,car,4519
327,car,car,7239
328,car,car,2162
329,car,car,1265
330,car,car,5832
331,car,car,5528
332,car,car,1867
333,car,car,1311
334,car,car,8908
335,car,car,1179
336,car,car,8192
337,car,car,3782
338,car,car,6348
339,car,car,7648
340,car,car,8823
341,car,car,4344
342,car,car,6122
343,car,car,9073
344,car,car,7277
345,car,car,1640
346,car,car,2639
347,car,car,3137
348,car,car,1912
349,car,car,5091
350,car,car,9691
351,car,car,5587
352,car,car,8685
353,car,car,5873
354,car,car,3024
355,car,car,3891
356,car,car,4397
357,car,car,9751
358,car,car,4382
359,car,car,1089
360,car,car,1771
361,car,car,9260
362,car,car,1281
363,car,car,1280
364,car,car,7543
365,car,car,1232
366,car,car,7238
367,car,car,5256
368,car,car,7848
369,car,car,4828
370,car,car,5533
371,car,car,4791
372,car,car,6402
373,car,car,5828
374,car,car,8309
375,car,car,3680
376,car,car,9448
377,car,car,3268
378,car,car,1176
379,car,car,3822
380,car,car,8495
381,car,car,4679
382,car,car,8308
383,car,car,8498
384,car,car,8746
385,car,car,3071
386,car,car,3442
387,car,car,4141
388,car,car,2525
389,car,car,5586
390,car,car,5519
391,car,car,3177
392,car,car,7176
393,car,car,6874
394,car,car,3627
395,car,car,9206
396,car,car,8010
397,car,car,6912
398,car,car,1206
399,car,car,4504
400,bus,bus,4101
401,bus,bus,5827
402,bus,bus,9826
403,bus,bus,8867
404,bus,bus,7432
405,bus,bus,5390
406,bus,bus,2362
407,bus,bus,4842
408,bus,bus,5739
409,bus,bus,5859
410,bus,bus,7887
411,bus,bus,9370
412,bus,bus,7094
413,bus,bus,6380
414,bus,bus,3886
415,bus,bus,3092
416,bus,bus,9492
417,bus,bus,3334
418,bus,bus,4002
419,bus,bus,2039
420,bus,bus,3344
421,bus,bus,1180
422,bus,bus,6281
423,bus,bus,8965
424,bus,bus,6738
425,bus,bus,4698
426,bus,bus,3833
427,bus,bus,1831
428,bus,bus,8226
429,bus,bus,4908
430,bus,bus,1568
431,bus,bus,9680
432,bus,bus,1669
433,bus,bus,6037
434,bus,bus,1296
435,bus,bus,4322
436,bus,bus,2619
437,bus,bus,8812
438,bus,bus,8878
439,bus,bus,7858
440,bus,bus,2999
441,bus,bus,7056
442,bus,bus,1732
443,bus,bus,7671
444,bus,bus,3279
445,bus,bus,5728
446,bus,bus,9058
447,bus,bus,1366
448,bus,bus,7499
449,bus,bus,2336
450,bus,bus,4406
451,bus,bus,7325
452,bus,bus,4236
453,bus,bus,6795
454,bus,bus,3007
455,bus,bus,7181
456,bus,bus,4496
457,bus,bus,7038
458,bus,bus,7332
459,bus,bus,5927
460,bus,bus,5803
461,bus,bus,1383
462,bus,bus,9888
463,bus,bus,2106
464,bus,bus,3462
465,bus,bus,9086
466,bus,bus,2003
467,bus,bus,8077
468,bus,bus,6037
469,bus,bus,4255
470,bus,bus,1612
471,bus,bus,2465
472,bus,bus,4830
473,bus,bus,1678
474,bus,bus,1223
475,bus,bus,3786
476,bus,bus,5381
477,bus,bus,4276
478,bus,bus,1142
479,bus,bus,5817
480,bus,bus,8781
481,bus,bus,1050
482,bus,bus,3433
483,bus,bus,5947
484,bus,bus,5041
485,bus,bus,5409
486,bus,bus,5856
487,bus,bus,2166
488,bus,bus,5843
489,bus,bus,3469
490,bus,bus,6047
491,bus,bus,2607
492,bus,bus,7805
493,bus,bus,2126
494,bus,bus,8667
495,bus,bus,9614
496,bus,bus,8361
497,bus,bus,8729
498,bus,bus,8357
499,bus,bus,6625
500,bus,bus,8664
501,bus,bus,6222
502,bus,bus,2299
503,bus,bus,5361
504,bus,bus,3332
505,bus,bus,9819
506,bus,bus,9696
507,bus,bus,7583
508,bus,bus,8419
509,bus,bus,6781
510,bus,bus,9239
511,bus,bus,1740
512,bus,bus,5566
513,bus,bus,7485
514,bus,bus,2458
515,bus,bus,6570
516,bus,bus,8708
517,bus,bus,5403
518,bus,bus,8323
519,bus,bus,4674
520,bus,bus,9925
521,bus,bus,4438
522,bus,bus,7111
523,bus,bus,6294
524,bus,bus,6713
525,bus,bus,5907
526,bus,bus,3908
527,bus,bus,1695
528,bus,bus,8177
529,bus,bus,5154
530,bus,bus,3654
531,bus,bus,4066
532,bus,bus,9011
533,bus,bus,6474
534,bus,bus,8135
535,bus,bus,8027
536,bus,bus,9324
537,bus,bus,7149
538,bus,bus,5093
539,bus,bus,9721
540,bus,bus,4034
541,bus,bus,5344
542,bus,bus,5646
543,bus,bus,2598
544,bus,bus,6077
545,bus,bus,7522
546,bus,bus,4926
547,bus,bus,7740
548,bus,bus,6926
549,bus,bus,6890
550,bus,bus,1827
551,bus,bus,1107
552,bus,bus,1428
553,bus,bus,7655
554,bus,bus,9872
555,bus,bus,1698
556,bus,bus,4054
557,bus,bus,2817
558,bus,bus,8692
559,bus,bus,1472
560,bus,bus,1185
561,bus,bus,2239
562,bus,bus,2863
563,bus,bus,2555
564,bus,bus,9719
565,bus,bus,9146
566,bus,bus,5244
567,bus,bus,2614
568,bus,bus,9635
569,bus,bus,6017
570,bus,bus,9835
571,bus,bus,6531
572,bus,bus,6163
573,bus,bus,6774
574,bus,bus,3425
575,bus,bus,6881
576,bus,bus,6072
577,bus,bus,9168
578,bus,bus,8887
579,bus,bus,5195
580,bus,bus,9120
581,bus,bus,3588
582,bus,bus,3195
583,bus,bus,2679
584,bus,bus,7239
585,bus,bus,2807
586,bus,bus,7430
587,bus,bus,8013
588,bus,bus,1452
589,bus,bus,7384
590,bus,bus,6427
591,bus,bus,6018
592,bus,bus,4665
593,bus,bus,9962
594,bus,bus,9904
595,bus,bus,3556
596,bus,bus,1679
597,bus,bus,5525
598,bus,bus,3736
599,bus,bus,6233
